,track_name,artist_names,acousticness,liveness,instrumentalness,energy,danceability,valence
3,Heat Waves,Glass Animals,0.44,0.0921,6.7e-06,0.525,0.761,0.531
4,Me Fui de Vacaciones,Bad Bunny,0.229,0.0942,0.00083,0.645,0.714,0.434
38,X ÚLTIMA VEZ,Daddy Yankee,0.0789,0.108,0.000167,0.855,0.812,0.573
26,Una Noche en Medellín,Cris Mj,0.0924,0.0534,4.6e-05,0.548,0.87,0.832
32,Desesperados,Rauw Alejandro,0.356,0.0878,0.00125,0.694,0.869,0.511
30,Envolver,Anitta,0.152,0.0914,0.00254,0.736,0.812,0.396
8,Efecto,Bad Bunny,0.141,0.0639,1.73e-05,0.475,0.801,0.234
0,Un Ratito,Bad Bunny,0.305,0.122,4.55e-05,0.546,0.787,0.222
17,Enséñame a Bailar,Bad Bunny,0.191,0.467,1.08e-05,0.789,0.81,0.77
33,Woman,Doja Cat,0.0888,0.117,0.00294,0.764,0.824,0.881
16,La Corriente,Bad Bunny,0.22899999999999998,0.21899999999999997,0.0,0.7859999999999999,0.6629999999999999,0.579
